年次	発空港	稚内	釧路	函館	旭川	利尻	帯広	中標津	紋別	女満別	奥尻	新千歳	丘珠	青森	三沢	花巻	仙台	秋田	大館	山形	庄内	福島	百里	成田	羽田	大島	三宅島	八丈島	調布	新島	神津島	青ヶ島	御蔵島	利島	新潟	佐渡	富山	小松	能登	松本	静岡	名古屋	中部	大阪	関西	神戸	但馬	南紀白浜	鳥取	美保	隠岐	出雲	石見	岡山	広島	広島西	山口宇部	岩国	徳島	高松	松山	高知	福岡	北九州	佐賀	長崎	福江	壱岐	対馬	上五島	小値賀	熊本	天草	大分	宮崎	鹿児島	種子島	屋久島	奄美	喜界島	沖永良部	与論	徳之島	那覇	南大東島	久米島	宮古島	石垣	与那国	多良間	北大東島	波照間	粟国	下地島	慶良間
2017年	羽田	58902	259601	510232	473411	***	303117	42716	36919	247730	***	4466459	***	275804	85046	***	***	418732	64842	44719	186681	***	***	***	***	***	***	86345	***	***	***	***	***	***	***	***	177695	523072	81510	***	***	***	131026	2678016	634305	487402	***	59932	185208	273329	***	291673	63681	522895	946779	***	453475	199863	494886	633454	767318	485362	4226631	614974	216063	915992	***	***	***	***	***	996728	***	595664	719757	1196911	***	***	42199	***	***	***	***	2873242	***	3823	128955	261824	***	***	***	***	***	***	***
2016年	羽田	57209	241862	533335	448323	***	280217	43363	36830	229947	***	4428197	***	270229	91848	***	***	400094	61161	43025	180878	***	***	***	***	***	***	80727	***	***	***	***	***	***	***	***	185937	503922	77110	***	***	***	123979	2576735	608050	476194	***	54108	180194	266967	***	285222	53100	506605	897231	***	427474	188795	479610	618319	725796	464486	4062915	586152	200024	887413	***	***	***	***	***	912856	***	598546	706029	1141837	***	***	35048	***	***	***	***	2707415	***	3840	90154	247268	***	***	***	***	***	***	***
2015年	羽田	59720	236005	558846	433206	***	277831	46233	39591	226967	***	4456728	***	253510	94867	***	***	393451	56915	41202	175892	***	***	***	***	4571	***	77803	***	***	***	***	***	***	***	***	262026	580707	75113	***	***	***	117858	2600587	557270	402996	***	58559	174100	253402	***	278236	59784	503668	841460	***	426720	168966	453273	602667	700340	446184	4022674	600129	207190	918992	***	***	***	***	***	942231	***	585305	703357	1124637	***	***	33199	***	***	***	***	2610758	***	3626	43056	233231	***	***	***	***	***	***	***
2014年	羽田	61822	235146	547358	419468	***	266217	46279	33347	212332	***	4395487	***	244589	89751	***	***	390129	55932	32350	175454	***	***	***	***	6423	125	80449	***	***	***	***	***	***	***	***	396034	822721	73541	***	***	***	65642	2596483	553346	350185	***	48684	160941	266617	***	281495	53653	480309	899151	***	404954	167089	458620	585561	707050	441057	4062290	589764	177563	879175	***	***	***	***	***	985956	***	572439	689913	1126477	***	***	35186	***	***	***	***	2574673	***	3908	40133	190401	***	***	***	***	***	***	***
2013年	羽田	61172	232398	548817	400764	***	262452	44776	25649	216548	***	4391501	***	253341	100620	***	***	388368	51871	13964	165753	***	***	***	***	5516	796	89286	***	***	***	***	***	***	***	***	386750	815731	77021	***	***	***	22990	2581772	558182	334949	***	52342	157524	250574	***	297428	46435	479924	885066	***	393914	166381	436651	604544	709643	434581	3873435	585445	149277	818136	***	***	***	***	***	987088	***	577358	688076	1138145	***	***	41686	***	***	***	***	2539335	***	3640	39094	126650	***	***	***	***	***	***	***
2012年	羽田	52958	224564	532879	365320	***	260300	44073	21082	208573	***	4362386	***	245093	107378	***	***	385361	48264	13266	167591	***	***	***	***	4894	1010	88141	***	***	***	***	***	***	***	***	378407	781210	75143	***	***	***	***	2474358	540795	401525	***	47889	142282	203550	***	246523	34435	464967	930149	***	391982	10814	400635	577462	700203	407753	3775954	576231	145711	706666	***	***	***	***	***	941819	***	562452	663075	1095250	***	***	40657	***	***	***	***	2503312	***	3602	38532	64314	***	***	***	***	***	***	***
2011年	羽田	50311	208473	482563	342925	***	240914	42459	21748	194019	***	4167038	***	276475	125909	***	***	392234	48464	46400	168357	***	***	***	***	4842	971	83036	***	***	***	***	***	***	***	***	354618	708738	68938	***	***	***	1635	2347059	518633	405641	***	42555	132540	182736	***	220654	30855	406694	882746	***	348586	***	338506	523734	634416	374098	3559510	531914	136241	645666	***	***	***	***	***	874128	***	512883	589141	1027946	***	***	34569	***	***	***	***	2403067	***	3777	39102	58464	***	***	***	***	***	***	***
2010年	羽田	48701	239689	553008	482893	***	252141	43008	26321	221762	***	4477074	***	309372	99975	***	***	355966	43080	23428	171378	***	***	***	***	6105	801	86665	***	***	***	***	***	***	***	***	377762	773405	75156	***	***	***	***	2600655	618087	420891	***	55076	147207	196185	***	247274	25721	441541	1004232	***	374792	***	355680	593370	699036	416851	3738684	537504	134978	711639	***	***	***	***	***	876286	***	548976	645234	1082104	***	***	38934	***	***	***	***	2619149	***	4228	46464	65075	***	***	***	***	***	***	***
2009年	羽田	50486	236643	531501	483854	***	254277	43430	25155	226679	***	4470252	***	318551	96284	***	***	358492	43953	27277	163507	***	***	***	***	8541	1370	83469	***	***	***	***	***	***	***	***	371271	755602	76045	***	***	***	***	2586984	642422	493759	***	66373	141391	181181	***	248807	23659	441786	1018659	***	367923	***	326166	572683	673843	376278	3721375	510724	127199	696681	***	***	***	***	***	856320	***	543593	658750	1078634	***	***	40337	***	***	***	***	2550503	***	5507	43958	65994	***	***	***	***	***	***	***
2008年	羽田	58532	254601	572882	517802	***	264380	48031	25041	248121	***	4758073	***	357904	103829	***	***	403791	47310	27473	188803	***	***	***	***	18551	2587	91485	***	***	***	***	***	***	***	***	450794	901494	80437	***	***	***	***	2871927	819933	594325	***	66850	151639	198863	***	273360	25102	484849	1139470	***	411448	***	356516	631424	718299	403117	4063240	535883	110095	731543	***	***	***	***	***	926756	***	622116	708004	1150570	***	***	40920	***	***	***	***	2762375	***	6648	46542	73066	***	***	***	***	***	***	***
2007年	羽田	72574	272970	608738	472812	***	270862	47997	26557	264149	***	4779478	***	375788	104707	***	***	433553	50649	30373	193068	***	***	***	***	29138	***	100066	***	***	***	***	***	***	55	***	481080	935840	80129	***	***	***	***	2924601	842835	701009	***	67879	162245	202117	***	266344	23312	515069	1171425	***	425137	***	375024	645745	721638	409613	4003432	525182	105320	747575	***	***	***	***	***	950528	***	636106	712137	1120383	***	***	41951	***	***	***	***	2641985	***	6697	48565	76075	***	***	***	***	***	***	***
2006年	羽田	72132	278306	644516	484589	***	270938	52818	26543	295135	***	4766204	***	366607	106089	***	***	439408	53815	22827	192303	***	***	***	***	26309	***	100975	***	***	***	***	***	***	***	***	493237	971477	83633	***	***	***	27	3072870	841452	539441	***	63013	162194	200495	***	259086	21060	543073	1180624	***	434657	***	388555	642446	723215	430510	4023717	486434	106068	747841	***	***	***	***	***	930122	***	628370	702816	1127705	***	***	43394	***	***	***	***	2523894	***	9812	49864	100303	***	***	***	***	***	***	***
2022年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41652	41100	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	33978	36264	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18955	***	***	***	***	***	***	***	***	***	***	***	***	145023	***	***	***	17726	***	6778	16815	2577	***	***	***	***	***	***	***	***	***	***	***
2021年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	26827	31235	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	24212	21709	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16719	***	***	***	***	***	***	***	***	***	***	***	***	125871	***	***	***	16781	***	3570	15941	3335	***	***	***	***	***	***	***	***	***	***	***
2020年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	27300	25741	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	23279	25184	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	13542	***	***	***	***	***	***	***	***	***	***	***	***	111099	***	***	***	16828	***	3077	13740	4341	***	***	***	***	***	***	***	***	***	***	***
2019年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	46391	45371	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	42232	18427	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18996	***	***	***	***	***	***	***	***	***	***	***	***	182299	***	***	***	24281	***	5196	20326	9651	***	***	***	***	***	***	***	***	***	***	***
2018年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	50702	45319	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34680	43410	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	20206	***	***	***	***	***	***	***	***	***	***	***	***	147889	***	***	***	22861	2781	4101	18417	9918	***	***	***	***	***	***	***	***	***	***	***
2017年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	51189	42854	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	34343	35879	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18848	***	***	***	***	***	***	***	***	***	***	***	***	117399	***	***	***	22617	5349	3546	15218	9324	***	***	***	***	***	***	***	***	***	***	***
2016年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	57935	35788	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41195	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18198	***	***	***	***	***	***	***	***	***	***	***	***	112396	***	***	***	22382	5025	3435	13284	8723	***	***	***	***	***	***	***	***	***	***	***
2015年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	52915	33584	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41089	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	18578	***	***	***	***	***	***	***	***	***	***	***	***	114140	***	***	***	22337	5023	3205	13251	7790	***	***	***	***	***	***	***	***	***	***	***
2014年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	25315	35091	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	38922	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	20784	***	***	***	***	***	***	***	***	***	***	***	***	112000	***	***	***	20819	3938	2600	12586	7701	***	***	***	***	***	***	***	***	***	***	***
2013年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	40488	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41107	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	16676	***	***	***	***	***	***	***	***	***	***	***	***	118148	***	***	***	18506	3774	2276	11202	8249	***	***	***	***	***	***	***	***	***	***	***
2012年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	40084	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	40336	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	14825	***	***	***	***	***	***	***	***	***	***	***	***	115348	***	***	***	18540	3635	2262	10669	8034	***	***	***	***	***	***	***	***	***	***	***
2011年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	33693	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	37203	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	9609	***	***	***	***	***	***	***	***	***	***	***	***	127435	***	***	***	19771	3727	1971	10682	7756	***	***	***	***	***	***	***	***	***	***	***
2010年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	37333	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	38373	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	130385	***	***	***	18718	3890	1344	10278	7895	***	***	***	***	***	***	***	***	***	***	***
2009年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	38523	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	41575	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	134956	***	***	***	19577	6027	***	10988	8236	***	***	***	***	***	***	***	***	***	***	***
2008年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	39409	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	42729	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	141099	***	***	***	20061	6200	***	11215	8507	***	***	***	***	***	***	***	***	***	***	***
2007年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	40695	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	44524	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	149393	***	***	***	21447	6237	***	11532	8723	***	***	***	***	***	***	***	***	***	***	***
2006年	奄美	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	42114	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	47408	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	152921	***	***	***	22602	7024	***	12507	9095	***	***	***	***	***	***	***	***	***	***	***
2022年	奥尻	***	***	3863	***	***	***	***	***	***	***	***	1725	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2021年	奥尻	***	***	4150	***	***	***	***	***	***	***	***	649	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2020年	奥尻	***	***	3879	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2019年	奥尻	***	***	5731	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2018年	奥尻	***	***	4559	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2017年	奥尻	***	***	5356	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2016年	奥尻	***	***	4797	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2015年	奥尻	***	***	5263	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2014年	奥尻	***	***	5195	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2013年	奥尻	***	***	4975	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2012年	奥尻	***	***	4651	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2011年	奥尻	***	***	4159	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2010年	奥尻	***	***	4834	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2009年	奥尻	***	***	5074	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2008年	奥尻	***	***	5247	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2007年	奥尻	***	***	5499	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
2006年	奥尻	***	***	5944	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***	***
